Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas
Vizzano,Preto,Dafiti,Sandália Vizzano Pedraria Preta,"Calçados,Calçados Femininos,Sandálias","R$ 159,90","R$ 99,99","R$ 106,37",1x
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Médio Preto,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",N/A,"R$ 129,99",2x
Jorge Bischoff,Preto,Dafiti,Sapatilha Jorge Bischoff de Couro Logo Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 399,00","R$ 229,99","R$ 244,67",4x
Santa Lolla,Prata,Dafiti,Sandália Feminina Santa Lolla Salto Baix...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Fino","R$ 199,90","R$ 159,99","R$ 170,20",2x
Vizzano,Off-white,Dafiti,Sandália Vizzano Tachas Off-White,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,99","R$ 99,99","R$ 106,37",1x
Usaflex,Caramelo,Dafiti,Sandália Feminina Usaflex Salto Bloco Caramelo,"Calçados,Calçados Femininos,Sandálias","R$ 259,99","R$ 109,99","R$ 117,01",1x
Bebecê,Bege,Dafiti,Scarpin Feminino Bebecê Bico Fino Salto ...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",N/A,"R$ 129,99",2x
Modare,Off-white,Dafiti,Tênis Feminino Modare Knit Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 209,90",N/A,"R$ 209,90",3x
Moleca,Caramelo,Dafiti,Rasteira Feminina Moleca Tiras Cruzadas Caramelo,"Calçados,Calçados Femininos,Rasteirinhas","R$ 79,90","R$ 44,99","R$ 47,86",1x
Jorge Bischoff,Marrom,Dafiti,Sandália Feminina Jorge Bischoff Tiras Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 359,00","R$ 189,99","R$ 202,12",3x
Vizzano,Marrom,Dafiti,Bota Feminina Vizzano Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 269,90","R$ 184,99","R$ 196,80",3x
Vizzano,Off-white,Dafiti,Scarpin Slingback Vizzano Tira Nó Off-White,"Calçados,Calçados Femininos,Scarpin","R$ 149,99","R$ 99,99","R$ 106,37",1x
Modare,Preto,Dafiti,Scarpin Feminino Modare Salto Anabela Preto,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 94,99","R$ 101,05",1x
Santa Lolla,Caramelo,Dafiti,Sandália Feminina Santa Lolla Salto Bloc...,"Calçados,Calçados Femininos,Tamanco","R$ 179,90","R$ 129,99","R$ 138,29",2x
Bottero,Preto,Dafiti,Bota Cano Alto Feminina Bottero Preta,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 509,99","R$ 369,99","R$ 393,61",6x
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Salto Alto Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 179,90","R$ 129,99","R$ 138,29",2x
Puma,Prata,Dafiti,Tênis Feminino Puma Speedcat Ballet Suede Prata,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 599,99","R$ 563,99","R$ 599,99",10x
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Médio Marrom,"Calçados,Calçados Femininos,Tamanco","R$ 159,90","R$ 109,99","R$ 117,01",1x
Bebecê,Bege,Dafiti,Mocassim Feminino Bebecê Detalhe Metálico Bege,"Calçados,Calçados Femininos,Mocassim","R$ 79,99","R$ 54,99","R$ 58,50",1x
Jorge Bischoff,Caramelo,Dafiti,Bota Feminina Jorge Bischoff Cano Baixo Caramelo,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 749,00","R$ 389,99","R$ 414,88",6x
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Alto Preta,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 94,99","R$ 101,05",1x
Santa Lolla,Preto,Dafiti,Tênis Santa Lolla Logo Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 159,99","R$ 119,99","R$ 127,65",2x
Modare,Bege,Dafiti,Scarpin Feminino Modare Salto Baixo Bico Fino Bege,"Calçados,Calçados Femininos,Scarpin","R$ 159,90","R$ 124,99","R$ 132,97",2x
Santa Lolla,Bordô,Dafiti,Sapatilha Feminina Santa Lolla Corrente ...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 219,90","R$ 144,99","R$ 154,24",2x
Moleca,Preto,Dafiti,Alpargata Moleca Perfuros Preta,"Calçados,Calçados Femininos,Alpargatas","R$ 69,99","R$ 49,99","R$ 53,18",1x
Anacapri,Vinho,Dafiti,Rasteira Anacapri Lisa Bordô,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,99","R$ 89,99","R$ 95,73",1x
Santa Lolla,Bege,Dafiti,Tênis Feminino Santa Lolla Ponta Redonda Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 269,90","R$ 159,99","R$ 170,20",2x
VIA UNO,Caramelo,Dafiti,Sapatilha Via Uno Aplicação Caramelo,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Salto Bloco Bi...,"Calçados,Calçados Femininos,Tamanco","R$ 139,99","R$ 104,99","R$ 111,69",1x
Usaflex,Rosa,Dafiti,Sandália Feminina Usaflex Salto Baixo Bloco Rosa,"Calçados,Calçados Femininos,Sandálias","R$ 249,99","R$ 119,99","R$ 127,65",2x
Jorge Bischoff,Bordô,Dafiti,Scarpin Feminino Jorge Bischoff Couro Bordô,"Calçados,Calçados Femininos,Scarpin","R$ 499,00","R$ 319,99","R$ 340,41",5x
Bebecê,Bordô,Dafiti,Bota Feminina Bebecê Cano Baixo Salto Qu...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 229,99","R$ 189,99","R$ 202,12",3x
adidas Originals,Preto,Dafiti,Tênis adidas Originals SL 72 OG Animal P...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 699,99","R$ 657,98","R$ 699,98",10x
VIA UNO,Marrom,Dafiti,Sapatilha Via Uno Croco Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 54,99","R$ 58,50",1x
Kolosh,Vinho,Dafiti,Tênis Feminino Kolosh Detalhe Elástico Vinho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,99","R$ 144,99","R$ 154,24",2x
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Alto Fiv...,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 179,90","R$ 119,99","R$ 127,65",2x
Moleca,Preto,Dafiti,Sapatilha Feminina Moleca Laço Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 69,90",N/A,"R$ 69,90",1x
Santa Lolla,Preto,Dafiti,Scarpin Feminino Santa Lolla Salto Bloco Preto,"Calçados,Calçados Femininos,Scarpin","R$ 189,99","R$ 144,99","R$ 154,24",2x
Usaflex,Preto,Dafiti,Tênis Feminino Usaflex Slip On Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 129,99","R$ 138,29",2x
Modare,Bege,Dafiti,Rasteira Modare Pedras Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,99","R$ 99,99","R$ 106,37",1x
Modare,Nude,Dafiti,Scarpin Feminino Modare Salto Médio Nude,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 99,99","R$ 106,37",1x
Jorge Bischoff,Azul Marinho,Dafiti,Sapatilha Feminina Jorge Bischoff Bico F...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 549,00","R$ 344,99","R$ 367,01",6x
Moleca,Marrom,Dafiti,Rasteira Feminina Moleca Tiras Tramada Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,90","R$ 64,99","R$ 69,14",1x
Melissa,Incolor,Dafiti,Sandália Melissa Possession Incolor,"Calçados,Calçados Femininos,Rasteirinhas","R$ 169,90","R$ 159,70","R$ 169,89",2x
Santa Lolla,Preto,Dafiti,Sandália Feminina Santa Lolla Salto Bloc...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 229,90","R$ 159,99","R$ 170,20",2x
Kolosh,Bege,Dafiti,Tênis Feminino Kolosh Detalhe Metalizado Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 289,99","R$ 189,99","R$ 202,12",3x
Modare,Preto,Dafiti,Tênis Feminino Modare Cano Baixo Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 169,90","R$ 119,99","R$ 127,65",2x
Vizzano,Preto,Dafiti,Scarpin Feminino Vizzano Salto Alto Tiras Preto,"Calçados,Calçados Femininos,Scarpin","R$ 189,90","R$ 129,99","R$ 138,29",2x
Vizzano,Bege,Dafiti,Sandália Vizzano Aplicação Bege,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 104,99","R$ 111,69",1x
Vizzano,Marrom,Dafiti,Tênis Feminino Modare Chunky Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 209,99","R$ 149,99","R$ 159,56",2x
Modare,Preto,Dafiti,Sapatilha Feminina Modare Detalhe Metálico Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 129,90","R$ 104,99","R$ 111,69",1x
Comfortflex,Marrom,Dafiti,Bota Feminina Comfortflex Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 209,99","R$ 139,99","R$ 148,93",2x
Vizzano,Branco,Dafiti,Scarpin Vizzano Bico Fino Branco,"Calçados,Calçados Femininos,Scarpin","R$ 149,90","R$ 99,99","R$ 106,37",1x
Vizzano,Preto,Dafiti,Scarpin Vizzano Médio Preto,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 114,99","R$ 122,33",2x
Santa Lolla,Preto,Dafiti,Sandália Santa Lolla Em Nó Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 269,90","R$ 219,99","R$ 234,03",3x
Jorge Bischoff,Azul,Dafiti,Scarpin Jorge Bischoff de Couro Azul,"Calçados,Calçados Femininos,Sapatos,Scarpins,Scarpin","R$ 369,00","R$ 219,99","R$ 234,03",3x
VIA UNO,Marrom,Dafiti,Bota Feminina VIA UNO Cano Baixo Animal ...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 179,99","R$ 134,99","R$ 143,61",2x
VIA UNO,Marrom,Dafiti,Mocassim VIA UNO Suede Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 139,99","R$ 124,99","R$ 132,97",2x
Bottero,Preto,Dafiti,Bota Coturno Bottero Cano Baixo Preta,"Calçados,Calçados Femininos,Botas,Coturno e Biker","R$ 459,99","R$ 389,99","R$ 414,88",6x
Santa Lolla,Marrom,Dafiti,Scarpin Santa Lolla Salto Bloco Caramelo,"Calçados,Calçados Femininos,Scarpin","R$ 249,90","R$ 189,99","R$ 202,12",3x
Santa Lolla,Preto,Dafiti,Sandália Feminina Santa Lolla Salto Médio Preta,"Calçados,Calçados Femininos,Sandálias","R$ 199,90","R$ 159,99","R$ 170,20",2x
Jorge Bischoff,Caramelo,Dafiti,Tamanco Feminino Jorge Bischoff Salto Ba...,"Calçados,Calçados Femininos,Tamanco","R$ 449,00","R$ 219,99","R$ 234,03",3x
Vizzano,Marrom,Dafiti,Mule Feminino Vizzano Plataforma Fivela Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 199,90","R$ 144,99","R$ 154,24",2x
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Slingback Fivela Preto,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 104,99","R$ 111,69",1x
Anacapri,Preto,Dafiti,Sapatilha ANACAPRI Matelassê Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 159,99",N/A,"R$ 159,99",2x
Kolosh,Preto,Dafiti,Tênis Kolosh Com Cadarço Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 139,99","R$ 148,93",2x
Bottero,Marrom,Dafiti,Sapatilha Feminina Bottero Slingback Cou...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 309,99","R$ 269,99","R$ 287,22",4x
Kolosh,Branco,Dafiti,Tênis Feminino Kolosh Sem Cadarço Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 189,99","R$ 149,99","R$ 159,56",2x
Ramarim,Branco,Dafiti,Tênis Feminino Ramarim Cadarço Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,90","R$ 149,99","R$ 159,56",2x
Modare,Branco,Dafiti,Tênis Feminino Modare Bico Redondo Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 209,99","R$ 159,99","R$ 170,20",2x
Arezzo,Preto,Dafiti,Scarpin Arezzo Salto Anabela Bico Fino Preta,"Calçados,Calçados Femininos,Scarpin","R$ 439,99","R$ 413,59","R$ 439,99",7x
Bottero,Branco,Dafiti,Tênis Feminino Bottero Casual Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 349,99","R$ 239,99","R$ 255,31",4x
VIA UNO,Bordô,Dafiti,Sandália Feminina VIA UNO Salto Grosso Bordô,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 89,99","R$ 95,73",1x
Jorge Bischoff,Marrom,Dafiti,Sandália Feminina Jorge Bischoff Texturi...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 489,00","R$ 279,99","R$ 297,86",4x
Vizzano,Preto,Dafiti,Tamanco Vizzano Fivela Preto,"Calçados,Calçados Femininos,Tamanco","R$ 139,99","R$ 99,99","R$ 106,37",1x
Vizzano,Marrom,Dafiti,Tênis Feminino Vizzano Bico Redondo Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 159,99","R$ 109,99","R$ 117,01",1x
Anacapri,Preto,Dafiti,Mocassim Anacapri Loafer Preto,"Calçados,Calçados Femininos,Mocassim","R$ 269,99","R$ 209,99","R$ 223,39",3x
Mooncity,Preto,Dafiti,Bota Tratorado Mooncity Cano Baixo Peludo Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 129,99","R$ 64,99","R$ 69,14",1x
Usaflex,Preto,Dafiti,Rasteira Feminina Usaflex Detalhe Metálico Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 199,99","R$ 109,99","R$ 117,01",1x
Vizzano,Vermelho,Dafiti,Scarpin Vizzano Baixo Vermelho,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 114,99","R$ 122,33",2x
Vizzano,Vermelho,Dafiti,Scarpin Feminino Vizzano Ponta Fina Vern...,"Calçados,Calçados Femininos,Scarpin","R$ 179,90","R$ 124,99","R$ 132,97",2x
Melissa,Preto,Dafiti,Sandália Feminina Melissa Plataforma Preta,"Calçados,Calçados Femininos,Sandálias","R$ 349,90","R$ 328,90","R$ 349,89",5x
Kolosh,Bege,Dafiti,Tênis Feminino Kolosh Detalhe Matelassê Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 189,99","R$ 129,99","R$ 138,29",2x
Arezzo,Marrom,Dafiti,Scarpin Feminino Arezzo Slingback Salto ...,"Calçados,Calçados Femininos,Scarpin","R$ 399,90","R$ 375,90","R$ 399,89",6x
Santa Lolla,Marrom,Dafiti,Bota Feminina Santa Lolla Cano Alto Salt...,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 499,90","R$ 369,99","R$ 393,61",6x
Jorge Bischoff,Bege,Dafiti,Tênis Feminino Jorge Bischoff Couro Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 499,00",N/A,"R$ 499,00",8x
Vizzano,Caramelo,Dafiti,Scarpin Vizzano Liso Caramelo,"Calçados,Calçados Femininos,Scarpin","R$ 149,99","R$ 99,99","R$ 106,37",1x
Modare,Preto,Dafiti,Mocassim Modare Tratorada Preto,"Calçados,Calçados Femininos,Mocassim","R$ 139,99","R$ 99,99","R$ 106,37",1x
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Médio Bico...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 99,99","R$ 106,37",1x
Vizzano,Vermelho,Dafiti,Tênis Vizzano Nobuck Vermelho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 139,99","R$ 89,99","R$ 95,73",1x
Jorge Bischoff,Marrom,Dafiti,Scarpin Feminino Jorge Bischoff Couro Bi...,"Calçados,Calçados Femininos,Scarpin","R$ 549,00","R$ 269,99","R$ 287,22",4x
Santa Lolla,Preto,Dafiti,Bota Feminina Santa Lolla Cano Alto Salt...,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 599,90","R$ 459,99","R$ 489,35",8x
VIA UNO,Marrom,Dafiti,Sandália Via Uno Tachas Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,99","R$ 89,99","R$ 95,73",1x
Vizzano,Vinho,Dafiti,Bota Feminina Vizzano Cano Baixo Salto Fino Vinho,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 219,90","R$ 149,99","R$ 159,56",2x
Capodarte,Preto,Dafiti,Sapatilha Feminino Capodarte Monograma e...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 450,00","R$ 249,99","R$ 265,95",4x
Beira Rio,Caramelo,Dafiti,Rasteira Aberta Beira Rio Detalhe Metáli...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 89,99","R$ 95,73",1x
Anacapri,Off-white,Dafiti,Rasteira Feminina Anacapri Tiras Pedrari...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 99,99","R$ 106,37",1x
Kolosh,Bege,Dafiti,Tênis Kolosh Apliques Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 189,90","R$ 144,99","R$ 154,24",2x
Jorge Bischoff,Caramelo,Dafiti,Scarpin Jorge Bischoff de Couro Croco Caramelo,"Calçados,Calçados Femininos,Scarpin","R$ 599,00","R$ 279,99","R$ 297,86",4x
Vizzano,Preto,Dafiti,Mocassim Vizzano Fivela e Ilhós Preto,"Calçados,Calçados Femininos,Mocassim","R$ 169,99","R$ 89,99","R$ 95,73",1x
Bottero,Marrom,Dafiti,Bota Feminina Bottero Cano Alto Salto Qu...,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 509,99","R$ 379,99","R$ 404,24",6x
Vizzano,Prata,Dafiti,Scarpin Feminino Vizzano Salto Fino Meta...,"Calçados,Calçados Femininos,Scarpin","R$ 189,90","R$ 129,99","R$ 138,29",2x
Jorge Bischoff,Marrom,Dafiti,Bota Feminina Jorge Bischoff Cano Baixo ...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 699,00","R$ 339,99","R$ 361,69",6x
VIA UNO,Branco,Dafiti,Rasteira Feminina VIA UNO Tiras Detalhe ...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 89,99","R$ 64,99","R$ 69,14",1x
VIA UNO,Caramelo,Dafiti,Sandália Feminina Via Uno Salto Anabela Caramelo,"Calçados,Calçados Femininos,Tamanco","R$ 119,99","R$ 89,99","R$ 95,73",1x
Santa Lolla,Preto,Dafiti,Slip On Santa Lolla Jeans Azul,"Calçados,Calçados Femininos,Tênis","R$ 149,90","R$ 119,99","R$ 127,65",2x
Modare,Marrom,Dafiti,Bota Anabela Modare Cano Baixo Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 169,99","R$ 109,99","R$ 117,01",1x
Vizzano,Off-white,Dafiti,Sandália Feminina Vizzano Salto Grosso Off-White,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 159,99","R$ 114,99","R$ 122,33",2x
VIA UNO,Preto,Dafiti,Bota Feminina VIA UNO Cano Alto Salto Baixo Preta,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 259,99","R$ 194,99","R$ 207,44",3x
Vizzano,Preto,Dafiti,Sapatilha Feminina Vizzano Bico Fino Laço Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 139,90","R$ 114,99","R$ 122,33",2x
Vans,Preto,Dafiti,Tênis Vans Knu Skool Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 599,99","R$ 563,99","R$ 599,99",10x
Via Marte,Preto,Dafiti,Tênis Via Marte Liso Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 139,99","R$ 148,93",2x
Arezzo,Preto,Dafiti,Rasteira Feminina Arezzo Fechada Couro Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 399,90",N/A,"R$ 399,90",6x
Bottero,Preto,Dafiti,Scarpin Feminino Bottero Salto Baixo Preto,"Calçados,Calçados Femininos,Scarpin","R$ 299,99","R$ 169,99","R$ 180,84",3x
Vizzano,Caramelo,Dafiti,Sandália Vizzano Salto Alto Grosso Caramelo,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,90","R$ 89,99","R$ 95,73",1x
Bebecê,Dourado,Dafiti,Scarpin Bebecê Bico Fino Metálico Dourado,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 104,99","R$ 111,69",1x
Beira Rio,Bege,Dafiti,Sandália Feminina Beira Rio Salto Bloco ...,"Calçados,Calçados Femininos,Sandálias","R$ 99,90","R$ 79,99","R$ 85,10",1x
VIA UNO,Off-white,Dafiti,Sapatilha Via Uno Bico Fino Off-White,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,90","R$ 79,99","R$ 85,10",1x
Bebecê,Dourado,Dafiti,Scarpin Feminino Bebecê Bico Fino Salto ...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 94,99","R$ 101,05",1x
Coca Cola,Azul Marinho,Dafiti,Tênis Feminino Coca Cola Cano Baixo Azul Marinho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 109,99","R$ 117,01",1x
Usaflex,Verde,Dafiti,Tênis Feminino Usaflex Knit Verde,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 179,99","R$ 129,99","R$ 138,29",2x
Dakota,Preto,Dafiti,Mocassim Feminino Dakota Detalhe Metal Preto,"Calçados,Calçados Femininos,Mocassim","R$ 179,99","R$ 119,99","R$ 127,65",2x
Jorge Bischoff,Marrom,Dafiti,Sapatilha Feminina Jorge Bischoff Matela...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 399,00","R$ 179,99","R$ 191,48",3x
Bottero,Marrom,Dafiti,Bota Feminina Bottero Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 659,99","R$ 479,99","R$ 510,63",8x
VIA UNO,Preto,Dafiti,Sapatilha Via Uno Lisa Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x
Vizzano,Caramelo,Dafiti,Bota Feminina Vizzano Cano Baixo Caramelo,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 239,90","R$ 189,99","R$ 202,12",3x
Moleca,Nude,Dafiti,Chinelo Feminino Moleca Ponta Quadrada Nude,"Calçados,Calçados Femininos,Chinelos","R$ 49,90","R$ 29,99","R$ 31,90",1x
Bottero,Nude,Dafiti,Sandália Feminina Bottero Anabela Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Anabela","R$ 269,99","R$ 189,99","R$ 202,12",3x
Arezzo,Marrom,Dafiti,Bota Feminina Arezzo Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 799,90","R$ 751,90","R$ 799,89",10x
Beira Rio,Preto,Dafiti,Scarpin Beira Rio Salto Bloco Bico Arred...,"Calçados,Calçados Femininos,Scarpin","R$ 159,99","R$ 89,99","R$ 95,73",1x
Bebecê,Azul,Dafiti,Sapatilha Feminina Bebecê Bico Fino Azul...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x
Bebecê,Caramelo,Dafiti,Sapatilha Feminina Bebecê Bico Fino Croc...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 59,99","R$ 63,82",1x
Luiza Barcelos,Marrom,Dafiti,Bota Feminina Luiza Barcelos Cano Médio Marrom,"Calçados,Calçados Femininos,Botas,Bota Cano Médio","R$ 999,90","R$ 939,90","R$ 999,89",10x
Puma,Vermelho,Dafiti,Tênis Puma Palermo Vermelho,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 549,99","R$ 339,99","R$ 361,69",6x
Vizzano,Vermelho,Dafiti,Scarpin Vizzano Verniz Vermelho,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 124,99","R$ 132,97",2x
Moleca,Marrom,Dafiti,Sapatilha Feminina Moleca Detalhe Laço Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 59,90","R$ 44,99","R$ 47,86",1x
Vizzano,Azul Marinho,Dafiti,Scarpin Feminino Vizzano Salto Grosso Bi...,"Calçados,Calçados Femininos,Scarpin","R$ 159,90","R$ 129,99","R$ 138,29",2x
Anacapri,Dourado,Dafiti,Rasteira Feminina Anacapri Tiras Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 89,99","R$ 95,73",1x
Modare,Marrom,Dafiti,Mocassim Feminino Modare Detalhe Marrom,"Calçados,Calçados Femininos,Mocassim","R$ 149,90",N/A,"R$ 149,90",2x
Kolosh,Branco,Dafiti,Chinelo Feminino Kolosh Slide Branco,"Calçados,Calçados Femininos,Chinelos","R$ 89,99","R$ 59,99","R$ 63,82",1x
Dakota,Caramelo,Dafiti,Bota Feminina Dakota Cano Baixo Caramelo,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 199,99","R$ 129,99","R$ 138,29",2x
Jorge Bischoff,Marrom,Dafiti,Sandália Feminina Jorge Bischoff Tiras C...,"Calçados,Calçados Femininos,Sandálias","R$ 399,00","R$ 229,99","R$ 244,67",4x
Moleca,Preto,Dafiti,Mule Feminino Moleca Detalhe Dourado Preto,"Calçados,Calçados Femininos,Mocassim","R$ 149,99","R$ 99,99","R$ 106,37",1x
Modare,Marrom,Dafiti,Scarpin Modare Bridão Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 169,90","R$ 119,99","R$ 127,65",2x
Moleca,Off-white,Dafiti,Sapatilha Feminina Moleca Laço Off White,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 59,90","R$ 34,99","R$ 37,22",1x
Lança Perfume,Dourado,Dafiti,Rasteira Feminina Lança Perfume Monograma Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 663,00","R$ 339,99","R$ 361,69",6x
Jorge Bischoff,Off-white,Dafiti,Scarpin Jorge Bischoff Recortes Off-White,"Calçados,Calçados Femininos,Scarpin","R$ 499,00","R$ 279,99","R$ 297,86",4x
